:START_ID,:END_ID,:TYPE,weight,description
disease_014,symptom_003,PRESENTS_WITH,0.7,Orbital Cellulitis presents with Ache
disease_014,symptom_004,PRESENTS_WITH,0.7,Orbital Cellulitis presents with Pain
disease_014,symptom_005,PRESENTS_WITH,0.7,Orbital Cellulitis presents with Headache
disease_054,symptom_003,PRESENTS_WITH,0.7,Dry Eye Syndrome presents with Ache
disease_054,symptom_004,PRESENTS_WITH,0.7,Dry Eye Syndrome presents with Pain
disease_054,symptom_005,PRESENTS_WITH,0.7,Dry Eye Syndrome presents with Headache
disease_058,symptom_003,PRESENTS_WITH,0.7,Blepharitis presents with Ache
disease_058,symptom_004,PRESENTS_WITH,0.7,Blepharitis presents with Pain
disease_058,symptom_005,PRESENTS_WITH,0.7,Blepharitis presents with Headache
disease_061,symptom_003,PRESENTS_WITH,0.7,Conjunctivitis presents with Ache
disease_061,symptom_004,PRESENTS_WITH,0.7,Conjunctivitis presents with Pain
disease_061,symptom_005,PRESENTS_WITH,0.7,Conjunctivitis presents with Headache
disease_064,symptom_003,PRESENTS_WITH,0.7,Trauma presents with Ache
disease_064,symptom_004,PRESENTS_WITH,0.7,Trauma presents with Pain
disease_064,symptom_005,PRESENTS_WITH,0.7,Trauma presents with Headache
disease_072,symptom_003,PRESENTS_WITH,0.7,Idiopathic presents with Ache
disease_072,symptom_004,PRESENTS_WITH,0.7,Idiopathic presents with Pain
disease_072,symptom_005,PRESENTS_WITH,0.7,Idiopathic presents with Headache
disease_138,symptom_003,PRESENTS_WITH,0.7,Inflamed Pinguecula presents with Ache
disease_138,symptom_004,PRESENTS_WITH,0.7,Inflamed Pinguecula presents with Pain
disease_138,symptom_005,PRESENTS_WITH,0.7,Inflamed Pinguecula presents with Headache
disease_171,symptom_003,PRESENTS_WITH,0.7,Uveitis presents with Ache
disease_171,symptom_004,PRESENTS_WITH,0.7,Uveitis presents with Pain
disease_171,symptom_005,PRESENTS_WITH,0.7,Uveitis presents with Headache
disease_188,symptom_003,PRESENTS_WITH,0.7,Scleritis presents with Ache
disease_188,symptom_004,PRESENTS_WITH,0.7,Scleritis presents with Pain
disease_188,symptom_005,PRESENTS_WITH,0.7,Scleritis presents with Headache
disease_191,symptom_003,PRESENTS_WITH,0.7,Infectious presents with Ache
disease_191,symptom_004,PRESENTS_WITH,0.7,Infectious presents with Pain
disease_191,symptom_005,PRESENTS_WITH,0.7,Infectious presents with Headache
disease_193,symptom_003,PRESENTS_WITH,0.7,Episcleritis presents with Ache
disease_193,symptom_004,PRESENTS_WITH,0.7,Episcleritis presents with Pain
disease_193,symptom_005,PRESENTS_WITH,0.7,Episcleritis presents with Headache
disease_208,symptom_003,PRESENTS_WITH,0.7,Orbital Tumor presents with Ache
disease_208,symptom_004,PRESENTS_WITH,0.7,Orbital Tumor presents with Pain
disease_208,symptom_005,PRESENTS_WITH,0.7,Orbital Tumor presents with Headache
disease_210,symptom_003,PRESENTS_WITH,0.7,Preseptal Cellulitis presents with Ache
disease_210,symptom_004,PRESENTS_WITH,0.7,Preseptal Cellulitis presents with Pain
disease_210,symptom_005,PRESENTS_WITH,0.7,Preseptal Cellulitis presents with Headache
disease_225,symptom_003,PRESENTS_WITH,0.7,Superior Limbic Keratoconjunctivitis presents with Ache
disease_225,symptom_004,PRESENTS_WITH,0.7,Superior Limbic Keratoconjunctivitis presents with Pain
disease_225,symptom_005,PRESENTS_WITH,0.7,Superior Limbic Keratoconjunctivitis presents with Headache
disease_235,symptom_003,PRESENTS_WITH,0.7,Dacryocystitis presents with Ache
disease_235,symptom_004,PRESENTS_WITH,0.7,Dacryocystitis presents with Pain
disease_235,symptom_005,PRESENTS_WITH,0.7,Dacryocystitis presents with Headache
disease_276,symptom_003,PRESENTS_WITH,0.7,Inflammatory presents with Ache
disease_276,symptom_004,PRESENTS_WITH,0.7,Inflammatory presents with Pain
disease_276,symptom_005,PRESENTS_WITH,0.7,Inflammatory presents with Headache
disease_279,symptom_003,PRESENTS_WITH,0.7,Vascular presents with Ache
disease_279,symptom_004,PRESENTS_WITH,0.7,Vascular presents with Pain
disease_279,symptom_005,PRESENTS_WITH,0.7,Vascular presents with Headache
disease_300,symptom_003,PRESENTS_WITH,0.7,Hordeolum presents with Ache
disease_300,symptom_004,PRESENTS_WITH,0.7,Hordeolum presents with Pain
disease_300,symptom_005,PRESENTS_WITH,0.7,Hordeolum presents with Headache
disease_364,symptom_003,PRESENTS_WITH,0.7,Chemical presents with Ache
disease_364,symptom_004,PRESENTS_WITH,0.7,Chemical presents with Pain
disease_364,symptom_005,PRESENTS_WITH,0.7,Chemical presents with Headache
disease_441,symptom_003,PRESENTS_WITH,0.7,Endophthalmitis presents with Ache
disease_441,symptom_004,PRESENTS_WITH,0.7,Endophthalmitis presents with Pain
disease_441,symptom_005,PRESENTS_WITH,0.7,Endophthalmitis presents with Headache
disease_464,symptom_003,PRESENTS_WITH,0.7,Anterior Uveitis presents with Ache
disease_464,symptom_004,PRESENTS_WITH,0.7,Anterior Uveitis presents with Pain
disease_464,symptom_005,PRESENTS_WITH,0.7,Anterior Uveitis presents with Headache
disease_479,symptom_003,PRESENTS_WITH,0.7,Idiopathic Orbital Inflammatory Syndrome presents with Ache
disease_479,symptom_004,PRESENTS_WITH,0.7,Idiopathic Orbital Inflammatory Syndrome presents with Pain
disease_479,symptom_005,PRESENTS_WITH,0.7,Idiopathic Orbital Inflammatory Syndrome presents with Headache
disease_567,symptom_003,PRESENTS_WITH,0.7,Toxic presents with Ache
disease_567,symptom_004,PRESENTS_WITH,0.7,Toxic presents with Pain
disease_567,symptom_005,PRESENTS_WITH,0.7,Toxic presents with Headache
disease_605,symptom_003,PRESENTS_WITH,0.7,Migraine presents with Ache
disease_605,symptom_004,PRESENTS_WITH,0.7,Migraine presents with Pain
disease_605,symptom_005,PRESENTS_WITH,0.7,Migraine presents with Headache
disease_642,symptom_003,PRESENTS_WITH,0.7,Glaucoma presents with Ache
disease_642,symptom_004,PRESENTS_WITH,0.7,Glaucoma presents with Pain
disease_642,symptom_005,PRESENTS_WITH,0.7,Glaucoma presents with Headache
disease_656,symptom_003,PRESENTS_WITH,0.7,Giant Cell Arteritis presents with Ache
disease_656,symptom_004,PRESENTS_WITH,0.7,Giant Cell Arteritis presents with Pain
disease_656,symptom_005,PRESENTS_WITH,0.7,Giant Cell Arteritis presents with Headache
disease_672,symptom_003,PRESENTS_WITH,0.7,Postoperative presents with Ache
disease_672,symptom_004,PRESENTS_WITH,0.7,Postoperative presents with Pain
disease_672,symptom_005,PRESENTS_WITH,0.7,Postoperative presents with Headache
disease_702,symptom_003,PRESENTS_WITH,0.7,Tumor presents with Ache
disease_702,symptom_004,PRESENTS_WITH,0.7,Tumor presents with Pain
disease_702,symptom_005,PRESENTS_WITH,0.7,Tumor presents with Headache
disease_777,symptom_003,PRESENTS_WITH,0.7,Uncorrected Refractive Error presents with Ache
disease_777,symptom_004,PRESENTS_WITH,0.7,Uncorrected Refractive Error presents with Pain
disease_777,symptom_005,PRESENTS_WITH,0.7,Uncorrected Refractive Error presents with Headache
disease_799,symptom_003,PRESENTS_WITH,0.7,Pharmacologic presents with Ache
disease_799,symptom_004,PRESENTS_WITH,0.7,Pharmacologic presents with Pain
disease_799,symptom_005,PRESENTS_WITH,0.7,Pharmacologic presents with Headache
disease_819,symptom_003,PRESENTS_WITH,0.7,Dry Eye presents with Ache
disease_819,symptom_004,PRESENTS_WITH,0.7,Dry Eye presents with Pain
disease_819,symptom_005,PRESENTS_WITH,0.7,Dry Eye presents with Headache
disease_824,symptom_003,PRESENTS_WITH,0.7,Pinguecula presents with Ache
disease_824,symptom_004,PRESENTS_WITH,0.7,Pinguecula presents with Pain
disease_824,symptom_005,PRESENTS_WITH,0.7,Pinguecula presents with Headache
disease_827,symptom_003,PRESENTS_WITH,0.7,Pterygium presents with Ache
disease_827,symptom_004,PRESENTS_WITH,0.7,Pterygium presents with Pain
disease_827,symptom_005,PRESENTS_WITH,0.7,Pterygium presents with Headache
disease_828,symptom_003,PRESENTS_WITH,0.7,Keratopathy presents with Ache
disease_828,symptom_004,PRESENTS_WITH,0.7,Keratopathy presents with Pain
disease_828,symptom_005,PRESENTS_WITH,0.7,Keratopathy presents with Headache
disease_833,symptom_003,PRESENTS_WITH,0.7,Angle-Closure Glaucoma presents with Ache
disease_833,symptom_004,PRESENTS_WITH,0.7,Angle-Closure Glaucoma presents with Pain
disease_833,symptom_005,PRESENTS_WITH,0.7,Angle-Closure Glaucoma presents with Headache
disease_834,symptom_003,PRESENTS_WITH,0.7,Dermatitis presents with Ache
disease_834,symptom_004,PRESENTS_WITH,0.7,Dermatitis presents with Pain
disease_834,symptom_005,PRESENTS_WITH,0.7,Dermatitis presents with Headache
disease_835,symptom_003,PRESENTS_WITH,0.7,Cellulitis presents with Ache
disease_835,symptom_004,PRESENTS_WITH,0.7,Cellulitis presents with Pain
disease_835,symptom_005,PRESENTS_WITH,0.7,Cellulitis presents with Headache
disease_836,symptom_003,PRESENTS_WITH,0.7,Neuritis presents with Ache
disease_836,symptom_004,PRESENTS_WITH,0.7,Neuritis presents with Pain
disease_836,symptom_005,PRESENTS_WITH,0.7,Neuritis presents with Headache
disease_837,symptom_003,PRESENTS_WITH,0.7,Dacryoadenitis presents with Ache
disease_837,symptom_004,PRESENTS_WITH,0.7,Dacryoadenitis presents with Pain
disease_837,symptom_005,PRESENTS_WITH,0.7,Dacryoadenitis presents with Headache
disease_838,symptom_003,PRESENTS_WITH,0.7,Optic Neuritis presents with Ache
disease_838,symptom_004,PRESENTS_WITH,0.7,Optic Neuritis presents with Pain
disease_838,symptom_005,PRESENTS_WITH,0.7,Optic Neuritis presents with Headache
disease_839,symptom_003,PRESENTS_WITH,0.7,Keratoconjunctivitis presents with Ache
disease_839,symptom_004,PRESENTS_WITH,0.7,Keratoconjunctivitis presents with Pain
disease_839,symptom_005,PRESENTS_WITH,0.7,Keratoconjunctivitis presents with Headache
disease_840,symptom_003,PRESENTS_WITH,0.7,Arteritis presents with Ache
disease_840,symptom_004,PRESENTS_WITH,0.7,Arteritis presents with Pain
disease_840,symptom_005,PRESENTS_WITH,0.7,Arteritis presents with Headache
disease_841,symptom_003,PRESENTS_WITH,0.7,Sinusitis presents with Ache
disease_841,symptom_004,PRESENTS_WITH,0.7,Sinusitis presents with Pain
disease_841,symptom_005,PRESENTS_WITH,0.7,Sinusitis presents with Headache
disease_050,symptom_003,PRESENTS_WITH,0.7,Floppy Eyelid Syndrome presents with Ache
disease_050,symptom_005,PRESENTS_WITH,0.7,Floppy Eyelid Syndrome presents with Headache
disease_055,symptom_003,PRESENTS_WITH,0.7,Neurotrophic Keratopathy presents with Ache
disease_055,symptom_005,PRESENTS_WITH,0.7,Neurotrophic Keratopathy presents with Headache
disease_063,symptom_003,PRESENTS_WITH,0.7,Entropion Or Ectropion presents with Ache
disease_063,symptom_005,PRESENTS_WITH,0.7,Entropion Or Ectropion presents with Headache
disease_144,symptom_003,PRESENTS_WITH,0.7,Giant Papillary Conjunctivitis presents with Ache
disease_144,symptom_005,PRESENTS_WITH,0.7,Giant Papillary Conjunctivitis presents with Headache
disease_218,symptom_003,PRESENTS_WITH,0.7,Allergic presents with Ache
disease_218,symptom_005,PRESENTS_WITH,0.7,Allergic presents with Headache
disease_221,symptom_003,PRESENTS_WITH,0.7,Entropion presents with Ache
disease_221,symptom_005,PRESENTS_WITH,0.7,Entropion presents with Headache
disease_223,symptom_003,PRESENTS_WITH,0.7,Distichiasis presents with Ache
disease_223,symptom_005,PRESENTS_WITH,0.7,Distichiasis presents with Headache
disease_227,symptom_003,PRESENTS_WITH,0.7,Ectropion presents with Ache
disease_227,symptom_005,PRESENTS_WITH,0.7,Ectropion presents with Headache
disease_420,symptom_003,PRESENTS_WITH,0.7,Carotid–Cavernous Fistula presents with Ache
disease_420,symptom_005,PRESENTS_WITH,0.7,Carotid–Cavernous Fistula presents with Headache
disease_825,symptom_003,PRESENTS_WITH,0.7,Trichiasis presents with Ache
disease_825,symptom_005,PRESENTS_WITH,0.7,Trichiasis presents with Headache
disease_826,symptom_003,PRESENTS_WITH,0.7,Corneal Erosion presents with Ache
disease_826,symptom_005,PRESENTS_WITH,0.7,Corneal Erosion presents with Headache
disease_842,symptom_003,PRESENTS_WITH,0.7,Neoplasia presents with Ache
disease_842,symptom_005,PRESENTS_WITH,0.7,Neoplasia presents with Headache
disease_843,symptom_003,PRESENTS_WITH,0.7,Subconjunctival Hemorrhage presents with Ache
disease_843,symptom_005,PRESENTS_WITH,0.7,Subconjunctival Hemorrhage presents with Headache
disease_844,symptom_003,PRESENTS_WITH,0.7,Canaliculitis presents with Ache
disease_844,symptom_005,PRESENTS_WITH,0.7,Canaliculitis presents with Headache
disease_845,symptom_003,PRESENTS_WITH,0.7,Keratitis presents with Ache
disease_845,symptom_005,PRESENTS_WITH,0.7,Keratitis presents with Headache
disease_846,symptom_003,PRESENTS_WITH,0.7,Meibomitis presents with Ache
disease_846,symptom_005,PRESENTS_WITH,0.7,Meibomitis presents with Headache
disease_847,symptom_003,PRESENTS_WITH,0.7,Corneal Foreign Body presents with Ache
disease_847,symptom_005,PRESENTS_WITH,0.7,Corneal Foreign Body presents with Headache
disease_089,symptom_004,PRESENTS_WITH,0.7,Seventh Cranial Nerve Palsy presents with Pain
disease_218,symptom_004,PRESENTS_WITH,0.7,Allergic presents with Pain
disease_219,symptom_004,PRESENTS_WITH,0.7,Congenital presents with Pain
disease_221,symptom_004,PRESENTS_WITH,0.7,Entropion presents with Pain
disease_227,symptom_004,PRESENTS_WITH,0.7,Ectropion presents with Pain
disease_237,symptom_004,PRESENTS_WITH,0.7,Nasolacrimal Duct Obstruction presents with Pain
disease_351,symptom_004,PRESENTS_WITH,0.7,Occlusion presents with Pain
disease_363,symptom_004,PRESENTS_WITH,0.7,Congenital Glaucoma presents with Pain
disease_825,symptom_004,PRESENTS_WITH,0.7,Trichiasis presents with Pain
disease_844,symptom_004,PRESENTS_WITH,0.7,Canaliculitis presents with Pain
disease_064,symptom_006,PRESENTS_WITH,0.7,Trauma presents with Spots
disease_279,symptom_006,PRESENTS_WITH,0.7,Vascular presents with Spots
disease_485,symptom_006,PRESENTS_WITH,0.7,Less Common presents with Spots
disease_702,symptom_006,PRESENTS_WITH,0.7,Tumor presents with Spots
disease_862,symptom_006,PRESENTS_WITH,0.7,Retinopathy presents with Spots
disease_219,symptom_007,PRESENTS_WITH,0.7,Congenital presents with Night Blindness
disease_381,symptom_007,PRESENTS_WITH,0.7,Albinism presents with Night Blindness
disease_382,symptom_007,PRESENTS_WITH,0.7,Optic Nerve Hypoplasia presents with Night Blindness
disease_392,symptom_007,PRESENTS_WITH,0.7,Optic Atrophy presents with Night Blindness
disease_574,symptom_007,PRESENTS_WITH,0.7,Leber Congenital Amaurosis presents with Night Blindness
disease_591,symptom_007,PRESENTS_WITH,0.7,Rarely presents with Night Blindness
disease_595,symptom_007,PRESENTS_WITH,0.7,Amblyopia presents with Night Blindness
disease_836,symptom_007,PRESENTS_WITH,0.7,Neuritis presents with Night Blindness
disease_838,symptom_007,PRESENTS_WITH,0.7,Optic Neuritis presents with Night Blindness
disease_879,symptom_007,PRESENTS_WITH,0.7,Retinitis presents with Night Blindness
disease_880,symptom_007,PRESENTS_WITH,0.7,Amaurosis presents with Night Blindness
disease_881,symptom_007,PRESENTS_WITH,0.7,Hypoplasia presents with Night Blindness
disease_882,symptom_007,PRESENTS_WITH,0.7,Atrophy presents with Night Blindness
disease_072,symptom_008,PRESENTS_WITH,0.7,Idiopathic presents with Blind Spot
disease_394,symptom_008,PRESENTS_WITH,0.7,Optic Nerve Drusen presents with Blind Spot
disease_530,symptom_008,PRESENTS_WITH,0.7,Papilledema presents with Blind Spot
disease_642,symptom_008,PRESENTS_WITH,0.7,Glaucoma presents with Blind Spot
disease_645,symptom_008,PRESENTS_WITH,0.7,Drugs presents with Blind Spot
disease_885,symptom_008,PRESENTS_WITH,0.7,Coloboma presents with Blind Spot
disease_276,symptom_010,PRESENTS_WITH,0.7,Inflammatory presents with Itching
disease_819,symptom_010,PRESENTS_WITH,0.7,Dry Eye presents with Itching
disease_912,symptom_010,PRESENTS_WITH,0.7,Stroma presents with Itching
disease_099,symptom_004,PRESENTS_WITH,0.7,Contact Lens Wear presents with Pain
disease_182,symptom_004,PRESENTS_WITH,0.7,Traumatic presents with Pain
disease_189,symptom_004,PRESENTS_WITH,0.7,Iritis presents with Pain
disease_591,symptom_004,PRESENTS_WITH,0.7,Rarely presents with Pain
disease_695,symptom_004,PRESENTS_WITH,0.7,Traumatic Iritis presents with Pain
disease_792,symptom_004,PRESENTS_WITH,0.7,Secondary presents with Pain
disease_890,symptom_004,PRESENTS_WITH,0.7,Corneal Abrasion presents with Pain
disease_306,symptom_002,PRESENTS_WITH,0.7,Bacterial presents with Discharge
disease_306,symptom_004,PRESENTS_WITH,0.7,Bacterial presents with Pain
disease_306,symptom_015,PRESENTS_WITH,0.7,Bacterial presents with Purulent Discharge
disease_367,symptom_002,PRESENTS_WITH,0.7,Bacteria presents with Discharge
disease_367,symptom_004,PRESENTS_WITH,0.7,Bacteria presents with Pain
disease_367,symptom_015,PRESENTS_WITH,0.7,Bacteria presents with Purulent Discharge
disease_845,symptom_002,PRESENTS_WITH,0.7,Keratitis presents with Discharge
disease_845,symptom_004,PRESENTS_WITH,0.7,Keratitis presents with Pain
disease_845,symptom_015,PRESENTS_WITH,0.7,Keratitis presents with Purulent Discharge
disease_869,symptom_002,PRESENTS_WITH,0.7,Hyphema presents with Discharge
disease_869,symptom_004,PRESENTS_WITH,0.7,Hyphema presents with Pain
disease_869,symptom_015,PRESENTS_WITH,0.7,Hyphema presents with Purulent Discharge
disease_894,symptom_002,PRESENTS_WITH,0.7,Conjunctival Laceration presents with Discharge
disease_894,symptom_004,PRESENTS_WITH,0.7,Conjunctival Laceration presents with Pain
disease_894,symptom_015,PRESENTS_WITH,0.7,Conjunctival Laceration presents with Purulent Discharge
disease_191,symptom_001,PRESENTS_WITH,0.7,Infectious presents with Irritation
disease_276,symptom_001,PRESENTS_WITH,0.7,Inflammatory presents with Irritation
disease_364,symptom_001,PRESENTS_WITH,0.7,Chemical presents with Irritation
disease_891,symptom_001,PRESENTS_WITH,0.7,Chemical Burn presents with Irritation
disease_894,symptom_001,PRESENTS_WITH,0.7,Conjunctival Laceration presents with Irritation
disease_064,symptom_013,PRESENTS_WITH,0.7,Trauma presents with Foreign Body Sensation
disease_064,symptom_009,PRESENTS_WITH,0.7,Trauma presents with Photophobia
disease_064,symptom_012,PRESENTS_WITH,0.7,Trauma presents with Tearing
disease_064,symptom_016,PRESENTS_WITH,0.7,Trauma presents with Floaters
disease_064,symptom_011,PRESENTS_WITH,0.7,Trauma presents with Blurred Vision
disease_893,symptom_004,PRESENTS_WITH,0.7,Penetrating Trauma presents with Pain
disease_893,symptom_011,PRESENTS_WITH,0.7,Penetrating Trauma presents with Blurred Vision
disease_173,symptom_003,PRESENTS_WITH,0.7,Increased Iop presents with Ache
disease_173,symptom_009,PRESENTS_WITH,0.7,Increased Iop presents with Photophobia
disease_189,symptom_003,PRESENTS_WITH,0.7,Iritis presents with Ache
disease_189,symptom_009,PRESENTS_WITH,0.7,Iritis presents with Photophobia
disease_217,symptom_003,PRESENTS_WITH,0.7,Mechanical presents with Ache
disease_217,symptom_009,PRESENTS_WITH,0.7,Mechanical presents with Photophobia
disease_392,symptom_003,PRESENTS_WITH,0.7,Optic Atrophy presents with Ache
disease_392,symptom_009,PRESENTS_WITH,0.7,Optic Atrophy presents with Photophobia
disease_595,symptom_003,PRESENTS_WITH,0.7,Amblyopia presents with Ache
disease_595,symptom_009,PRESENTS_WITH,0.7,Amblyopia presents with Photophobia
disease_642,symptom_009,PRESENTS_WITH,0.7,Glaucoma presents with Photophobia
disease_668,symptom_003,PRESENTS_WITH,0.7,Sickle Cell Disease presents with Ache
disease_668,symptom_009,PRESENTS_WITH,0.7,Sickle Cell Disease presents with Photophobia
disease_792,symptom_003,PRESENTS_WITH,0.7,Secondary presents with Ache
disease_792,symptom_009,PRESENTS_WITH,0.7,Secondary presents with Photophobia
disease_830,symptom_003,PRESENTS_WITH,0.7,Cataract presents with Ache
disease_830,symptom_009,PRESENTS_WITH,0.7,Cataract presents with Photophobia
disease_869,symptom_003,PRESENTS_WITH,0.7,Hyphema presents with Ache
disease_869,symptom_009,PRESENTS_WITH,0.7,Hyphema presents with Photophobia
disease_882,symptom_003,PRESENTS_WITH,0.7,Atrophy presents with Ache
disease_882,symptom_009,PRESENTS_WITH,0.7,Atrophy presents with Photophobia
disease_896,symptom_003,PRESENTS_WITH,0.7,Acidosis presents with Ache
disease_896,symptom_009,PRESENTS_WITH,0.7,Acidosis presents with Photophobia
disease_912,symptom_003,PRESENTS_WITH,0.7,Stroma presents with Ache
disease_912,symptom_009,PRESENTS_WITH,0.7,Stroma presents with Photophobia
disease_064,symptom_002,PRESENTS_WITH,0.7,Trauma presents with Discharge
disease_173,symptom_002,PRESENTS_WITH,0.7,Increased Iop presents with Discharge
disease_173,symptom_004,PRESENTS_WITH,0.7,Increased Iop presents with Pain
disease_593,symptom_002,PRESENTS_WITH,0.7,Most Common presents with Discharge
disease_593,symptom_004,PRESENTS_WITH,0.7,Most Common presents with Pain
disease_669,symptom_002,PRESENTS_WITH,0.7,Valsalva presents with Discharge
disease_669,symptom_004,PRESENTS_WITH,0.7,Valsalva presents with Pain
disease_830,symptom_004,PRESENTS_WITH,0.7,Cataract presents with Pain
disease_064,symptom_018,PRESENTS_WITH,0.7,Trauma presents with Glare
disease_064,symptom_019,PRESENTS_WITH,0.7,Trauma presents with Diplopia
disease_642,symptom_018,PRESENTS_WITH,0.7,Glaucoma presents with Glare
disease_642,symptom_019,PRESENTS_WITH,0.7,Glaucoma presents with Diplopia
disease_897,symptom_009,PRESENTS_WITH,0.7,Maculopathy presents with Photophobia
disease_897,symptom_018,PRESENTS_WITH,0.7,Maculopathy presents with Glare
disease_897,symptom_019,PRESENTS_WITH,0.7,Maculopathy presents with Diplopia
disease_898,symptom_009,PRESENTS_WITH,0.7,Blunt Trauma presents with Photophobia
disease_898,symptom_018,PRESENTS_WITH,0.7,Blunt Trauma presents with Glare
disease_898,symptom_019,PRESENTS_WITH,0.7,Blunt Trauma presents with Diplopia
disease_017,symptom_020,PRESENTS_WITH,0.7,Ruptured Globe presents with Distortion
disease_064,symptom_020,PRESENTS_WITH,0.7,Trauma presents with Distortion
disease_791,symptom_020,PRESENTS_WITH,0.7,Primary presents with Distortion
disease_189,symptom_001,PRESENTS_WITH,0.7,Iritis presents with Irritation
disease_189,symptom_012,PRESENTS_WITH,0.7,Iritis presents with Tearing
disease_189,symptom_019,PRESENTS_WITH,0.7,Iritis presents with Diplopia
disease_237,symptom_001,PRESENTS_WITH,0.7,Nasolacrimal Duct Obstruction presents with Irritation
disease_237,symptom_012,PRESENTS_WITH,0.7,Nasolacrimal Duct Obstruction presents with Tearing
disease_237,symptom_019,PRESENTS_WITH,0.7,Nasolacrimal Duct Obstruction presents with Diplopia
disease_823,symptom_001,PRESENTS_WITH,0.7,Chemosis presents with Irritation
disease_823,symptom_004,PRESENTS_WITH,0.7,Chemosis presents with Pain
disease_823,symptom_012,PRESENTS_WITH,0.7,Chemosis presents with Tearing
disease_823,symptom_019,PRESENTS_WITH,0.7,Chemosis presents with Diplopia
disease_890,symptom_001,PRESENTS_WITH,0.7,Corneal Abrasion presents with Irritation
disease_890,symptom_012,PRESENTS_WITH,0.7,Corneal Abrasion presents with Tearing
disease_890,symptom_019,PRESENTS_WITH,0.7,Corneal Abrasion presents with Diplopia
disease_182,symptom_019,PRESENTS_WITH,0.7,Traumatic presents with Diplopia
disease_182,symptom_020,PRESENTS_WITH,0.7,Traumatic presents with Distortion
disease_279,symptom_019,PRESENTS_WITH,0.7,Vascular presents with Diplopia
disease_279,symptom_020,PRESENTS_WITH,0.7,Vascular presents with Distortion
disease_791,symptom_019,PRESENTS_WITH,0.7,Primary presents with Diplopia
disease_797,symptom_019,PRESENTS_WITH,0.7,Posttraumatic presents with Diplopia
disease_797,symptom_020,PRESENTS_WITH,0.7,Posttraumatic presents with Distortion
disease_899,symptom_019,PRESENTS_WITH,0.7,Zygoma presents with Diplopia
disease_899,symptom_020,PRESENTS_WITH,0.7,Zygoma presents with Distortion
disease_901,symptom_019,PRESENTS_WITH,0.7,Fibrosis presents with Diplopia
disease_901,symptom_020,PRESENTS_WITH,0.7,Fibrosis presents with Distortion
disease_902,symptom_019,PRESENTS_WITH,0.7,Enophthalmos presents with Diplopia
disease_902,symptom_020,PRESENTS_WITH,0.7,Enophthalmos presents with Distortion
disease_841,symptom_019,PRESENTS_WITH,0.7,Sinusitis presents with Diplopia
disease_064,symptom_017,PRESENTS_WITH,0.7,Trauma presents with Decreased Vision
disease_015,symptom_004,PRESENTS_WITH,0.7,Severe Orbital Emphysema (“Tension Pneumo-Orbit”) presents with Pain
disease_016,symptom_004,PRESENTS_WITH,0.7,Orbital Fracture presents with Pain
disease_017,symptom_004,PRESENTS_WITH,0.7,Ruptured Globe presents with Pain
disease_018,symptom_004,PRESENTS_WITH,0.7,High-Flow (Direct) Carotid–Cavernous Fistula presents with Pain
disease_019,symptom_004,PRESENTS_WITH,0.7,Varix presents with Pain
disease_020,symptom_004,PRESENTS_WITH,0.7,Lymphangioma presents with Pain
disease_021,symptom_004,PRESENTS_WITH,0.7,Spontaneous Retrobulbar Hemorrhage presents with Pain
disease_420,symptom_004,PRESENTS_WITH,0.7,Carotid–Cavernous Fistula presents with Pain
disease_821,symptom_004,PRESENTS_WITH,0.7,Proptosis presents with Pain
