id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
disease_016,Orbital Fracture,Entity,,"[3, 5, 7, 10, 14]",Disease entity extracted from differential diagnosis lists,13,orbital fracture,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_017,Ruptured Globe,Entity,,[3],Disease entity extracted from differential diagnosis lists,2,ruptured globe,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_018,High-Flow (Direct) Carotid–Cavernous Fistula,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,high-flow (direct) carotid–cavernous fistula,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_019,Varix,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,varix,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_020,Lymphangioma,Entity,,"[3, 5, 7]",Disease entity extracted from differential diagnosis lists,11,lymphangioma,True,"[""Differential Diagnosis"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_021,Spontaneous Retrobulbar Hemorrhage,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,spontaneous retrobulbar hemorrhage,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_022,"Bilateral, Asymmetric Ton",Entity,,[3],Disease entity extracted from differential diagnosis lists,1,"bilateral, asymmetric ton",True,"[""Differential Diagnosis of a Traumatic Afferent Pupillary Defect""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_023,Severe Retinal Trauma,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,severe retinal trauma,True,"[""Differential Diagnosis of a Traumatic Afferent Pupillary Defect""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_024,"Traumatic, Diffuse Vh",Entity,,[3],Disease entity extracted from differential diagnosis lists,1,"traumatic, diffuse vh",True,"[""Differential Diagnosis of a Traumatic Afferent Pupillary Defect""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_025,Intracranial Trauma With Asymmetric Damage To The Prechiasmal Optic Nerves,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,intracranial trauma with asymmetric damage to the prechiasmal optic nerves,True,"[""Differential Diagnosis of a Traumatic Afferent Pupillary Defect""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_026,Compressive Optic Neuropathy From Orbital Hemorrhage,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,compressive optic neuropathy from orbital hemorrhage,True,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_027,Compressive Optic Neuropathy From Orbital Foreign Body,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,compressive optic neuropathy from orbital foreign body,True,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_028,Bony Impingement,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,bony impingement,True,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_029,Optic Nerve Sheath Hematoma,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,optic nerve sheath hematoma,True,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_030,Deceleration Injury,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,deceleration injury,True,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_031,Retinal Detachment,Entity,,"[2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14]",Disease entity extracted from differential diagnosis lists,65,retinal detachment,True,"[""Differential Diagnosis"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_032,Retinal Artery Occlusion,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,retinal artery occlusion,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_033,White Without Pressure,Entity,,"[3, 11]",Disease entity extracted from differential diagnosis lists,2,white without pressure,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_034,Myelinated Nerve Fiber Layer,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,myelinated nerve fiber layer,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_035,Chorioretinitis Sclopetaria,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,chorioretinitis sclopetaria,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_036,Lacquer Cracks Of High Myopia,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,lacquer cracks of high myopia,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_037,Angioid Streaks,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,angioid streaks,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_038,Choroidal Rupture,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,choroidal rupture,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_039,Optic Nerve Avulsion,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,optic nerve avulsion,True,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_040,Pseudo–Purtscher Retinopathy,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,pseudo–purtscher retinopathy,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_041,Central Retinal Vein Occlusion,Entity,,"[2, 3, 9, 10, 11, 14]",Disease entity extracted from differential diagnosis lists,23,central retinal vein occlusion,True,"[""Differential Diagnosis"", ""Differential Diagnosis of Disc Edema or Elevation""]",emergent,"[""crvo""]",,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_042,Central Retinal Artery Occlusion,Entity,,"[2, 3, 7, 9, 10, 11, 14]",Disease entity extracted from differential diagnosis lists,15,central retinal artery occlusion,True,"[""Differential Diagnosis"", ""Etiology""]",emergent,"[""crao""]",,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_043,Severe Accidental Injury,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,severe accidental injury,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_044,Birth Trauma,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,birth trauma,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_045,Hyperacute Elevation Of Intracranial Pressure (E,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,hyperacute elevation of intracranial pressure (e,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_046,Hypoxia,Entity,,[3],Disease entity extracted from differential diagnosis lists,1,hypoxia,True,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_047,Superior Staining Contact Lens–Related Disorder (E.G.,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,superior staining contact lens–related disorder (e.g.,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_048,Contact Lens–Related Disorder (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,contact lens–related disorder (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_049,Foreign Body Under The Upper Eyelid,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,foreign body under the upper eyelid,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_050,Floppy Eyelid Syndrome,Entity,,[4],Disease entity extracted from differential diagnosis lists,3,floppy eyelid syndrome,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_051,Superior Limbic Keratoconjunctivitis (Slk),Entity,,[4],Disease entity extracted from differential diagnosis lists,2,superior limbic keratoconjunctivitis (slk),False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_052,Vernal Conjunctivitis,Entity,,"[4, 6]",Disease entity extracted from differential diagnosis lists,3,vernal conjunctivitis,False,"[""Differential Diagnosis"", ""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_053,Interpalpebral Staining Dry Eye Syndrome,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,interpalpebral staining dry eye syndrome,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_054,Dry Eye Syndrome,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,dry eye syndrome,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_055,Neurotrophic Keratopathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,neurotrophic keratopathy,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_056,Ultraviolet Burn/Photokeratopathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,ultraviolet burn/photokeratopathy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_057,Inferior Staining Blepharitis,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,inferior staining blepharitis,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_058,Blepharitis,Entity,,"[1, 4, 5, 6, 12]",Disease entity extracted from differential diagnosis lists,31,blepharitis,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_059,Exposure Keratopathy,Entity,,"[3, 4, 6, 7, 8, 10]",Disease entity extracted from differential diagnosis lists,18,exposure keratopathy,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_060,Topical Drug Toxicity (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,topical drug toxicity (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_061,Conjunctivitis,Entity,,"[1, 2, 4, 5, 6, 7, 8, 9, 12, 13]",Disease entity extracted from differential diagnosis lists,64,conjunctivitis,False,"[""Differential Diagnosis"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_062,Trichiasis/Distichiasis,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,trichiasis/distichiasis,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_063,Entropion Or Ectropion,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,entropion or ectropion,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_064,Trauma,Entity,,"[4, 7, 11, 13]",Disease entity extracted from differential diagnosis lists,6,trauma,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_065,Mild Chemical Injury,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,mild chemical injury,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_066,Thygeson Superficial Punctate Keratitis,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,thygeson superficial punctate keratitis,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_067,Anterior Corneal Dystrophy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,anterior corneal dystrophy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_068,Previous Traumatic Corneal Abrasion,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,previous traumatic corneal abrasion,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_069,Stromal Corneal Dystrophy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,stromal corneal dystrophy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_070,Corneal Degeneration,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,corneal degeneration,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_071,Keratorefractive,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,keratorefractive,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_072,Idiopathic,Entity,,"[4, 5, 6, 10, 11, 13]",Disease entity extracted from differential diagnosis lists,8,idiopathic,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_073,Evaporative,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,evaporative,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_074,Aqueous Deficient,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,aqueous deficient,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_075,Combination,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,combination,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_076,Lifestyle Related,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,lifestyle related,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_077,Connective Tissue Diseases (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,connective tissue diseases (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_078,Conjunctival Scarring (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,conjunctival scarring (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_079,Drugs (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,drugs (e,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_080,Infiltration Of The Lacrimal Glands (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,infiltration of the lacrimal glands (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_081,Postradiation Fibrosis Of The Lacrimal Glands,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,postradiation fibrosis of the lacrimal glands,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_082,Vitamin A Deficiency,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,vitamin a deficiency,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_083,After Cataract Surgery Or Corneal Refractive Surgery Such As Limbal Relaxing Incisions,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,after cataract surgery or corneal refractive surgery such as limbal relaxing incisions,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_084,Severe Ocular Dryness,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,severe ocular dryness,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_085,Slk,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,slk,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_086,Recurrent Corneal Erosions,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,recurrent corneal erosions,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_087,Adjacent To Irregular Corneal Surface (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,adjacent to irregular corneal surface (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_088,Patching (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,patching (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_089,Seventh Cranial Nerve Palsy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,seventh cranial nerve palsy,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_090,Sedation Or Altered Mental Status,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,sedation or altered mental status,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_091,Eyelid Deformity (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,eyelid deformity (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_092,Nocturnal Lagophthalmos,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,nocturnal lagophthalmos,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_093,Proptosis (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,proptosis (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_094,After Ptosis Repair Or Blepharoplasty Procedures,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,after ptosis repair or blepharoplasty procedures,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_095,Poor Blink (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,poor blink (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_096,Postinfection With Varicella Zoster Virus (Vzv) Or Herpes Simplex Virus (Hsv),Entity,,[4],Disease entity extracted from differential diagnosis lists,1,postinfection with varicella zoster virus (vzv) or herpes simplex virus (hsv),False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_097,"Following Ocular Surgery, Particularly After Corneal Incisional Or Laser Surgery (E",Entity,,[4],Disease entity extracted from differential diagnosis lists,1,"following ocular surgery, particularly after corneal incisional or laser surgery (e",False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_098,Tumor (Especially An Acoustic Neuroma,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,tumor (especially an acoustic neuroma,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_099,Contact Lens Wear,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,contact lens wear,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_100,Diabetic Neuropathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,diabetic neuropathy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_101,Extensive Panretinal Photocoagulation,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,extensive panretinal photocoagulation,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_102,Complication Of Trigeminal Nerve Or Dental Surgery,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,complication of trigeminal nerve or dental surgery,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_103,Complication Of Radiation Therapy To The Eye Or An Adnexal Structure,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,complication of radiation therapy to the eye or an adnexal structure,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_104,Topical Medications (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,topical medications (e,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_105,Topical Anesthetic Abuse,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,topical anesthetic abuse,False,"[""Differential Diagnosis"", ""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_106,Crack Keratopathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,crack keratopathy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_107,Chemical Injury Or Exposure To Hydrogen Sulfide Or Carbon Disulfide (Used In Manufacturing),Entity,,[4],Disease entity extracted from differential diagnosis lists,1,chemical injury or exposure to hydrogen sulfide or carbon disulfide (used in manufacturing),False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_108,Toxic Epithelial Keratopathy From Exposure To A Chemical (E,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,toxic epithelial keratopathy from exposure to a chemical (e,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_109,Thermal Burn/Keratopathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,thermal burn/keratopathy,True,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_110,Conjunctival Intraepithelial Neoplasia (Cin),Entity,,[4],Disease entity extracted from differential diagnosis lists,1,conjunctival intraepithelial neoplasia (cin),False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_111,Limbal Dermoid,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,limbal dermoid,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_112,Pseudopterygium,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,pseudopterygium,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_113,Peripheral Hypertrophic Subepithelial Corneal Degeneration,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,peripheral hypertrophic subepithelial corneal degeneration,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_114,Pannus,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,pannus,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_115,Sclerokeratitis,Entity,,"[4, 12]",Disease entity extracted from differential diagnosis lists,5,sclerokeratitis,False,"[""Differential Diagnosis"", ""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_116,Fungal,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,fungal,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_117,Acanthamoeba,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,acanthamoeba,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_118,Hsv,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,hsv,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
